original_filename,new_filename,change_type,default_data_output_paths_changed
F013_run_fullriver_inference_tileavg_vrt_CoreFinalLossOnly_Inst1DSafe_20260710.sh,F021_run_fullriver_inference_NormOnly_TileAvgVRT_20260710.sh,renamed,No
F020_fullriver_gt_error_tilevrt_CoreFinalLossOnly_20260710.py,F022_fullriver_gt_error_NormOnly_UniqueCompatible_20260710.py,renamed,No
F021_run_fullriver_gt_error_tilevrt_CoreFinalLossOnly_20260710.sh,F023_run_fullriver_gt_error_NormOnly_20260710.sh,renamed,No
F051_build_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.py,G020_build_NormOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.py,renamed,No
F052_run_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.sh,G021_run_NormOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260711.sh,renamed,No
F060_fullriver_predict_tileavg_vrt_MeterMAE_CoreFinalLossOnly_Inst1DSafe_20260713.py,F030_fullriver_predict_MeterOnly_TileAvgVRT_CoreFinalLossOnly_20260713.py,renamed,No
F061_run_fullriver_inference_meterMAE_TileAvgVRT_20260713.sh,F031_run_fullriver_inference_MeterOnly_TileAvgVRT_20260713.sh,renamed,No
F062_fullriver_gt_error_uniquePixel_MeterMAE_20260713.py,F032_fullriver_gt_error_MeterOnly_UniquePixel_20260713.py,renamed,No
F063_run_fullriver_gt_error_uniquePixel_MeterMAE_20260713.sh,F033_run_fullriver_gt_error_MeterOnly_UniquePixel_20260713.sh,renamed,No
F064_submit_three_holdout_meterMAE_eval_inference_metrics_20260713.sh,F033b_submit_three_holdout_MeterOnly_eval_inference_error_20260713.sh,renamed,No
F065_compare_fullriver_error_distribution_norm_vs_meter_20260714.py,G090_compare_fullriver_error_distribution_NormOnly_vs_MeterOnly_20260714.py,renamed,No
F066_run_fullriver_compare_error_distribution_norm_vs_meter_20260714.sh,G091_run_compare_fullriver_error_distribution_NormOnly_vs_MeterOnly_20260714.sh,renamed,No
G010_build_meterMAE_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_F051Stable_20260714.py,G030_build_MeterOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260714.py,renamed,No
G011_run_meterMAE_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_F051Stable_20260714.sh,G031_run_MeterOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260714.sh,renamed,No
,E025_evaluate_NormThenMeter_core_pixel_metrics_overlayvis_20260727.py,new aligned wrapper/core,See framework CSV
,E026_run_NormThenMeter_train_val_core_pixel_eval_20260727.sh,new aligned wrapper/core,See framework CSV
,F024_submit_three_holdout_NormOnly_eval_inference_error_20260727.sh,new aligned wrapper/core,See framework CSV
,F025_fullriver_predict_NormThenMeter_TileAvgVRT_CoreFinalLossOnly_20260727.py,new aligned wrapper/core,See framework CSV
,F026_run_fullriver_inference_NormThenMeter_TileAvgVRT_20260727.sh,new aligned wrapper/core,See framework CSV
,F027_fullriver_gt_error_NormThenMeter_UniquePixel_20260727.py,new aligned wrapper/core,See framework CSV
,F028_run_fullriver_gt_error_NormThenMeter_UniquePixel_20260727.sh,new aligned wrapper/core,See framework CSV
,F029_submit_three_holdout_NormThenMeter_eval_inference_error_20260727.sh,new aligned wrapper/core,See framework CSV
,G025_build_NormThenMeter_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260727.py,new aligned wrapper/core,See framework CSV
,G026_run_NormThenMeter_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260727.sh,new aligned wrapper/core,See framework CSV
,G092_compare_NormThenMeter_vs_MeterOnly_local_reaches_20260727.py,new aligned wrapper/core,See framework CSV
,G093_run_compare_NormThenMeter_vs_MeterOnly_local_reaches_20260727.sh,new aligned wrapper/core,See framework CSV
